# Explanation of columns:
# Column  1: 'idx':     index of sequence in input file
# Column  2: 'seqname': name of sequence
# Column  3: 'seqlen':  length of sequence
# Column  4: 'staxid':  taxid of sequence (species level), '-' if all taxid related steps were skipped
# Column  6: 'otaxid':  taxid of sequence (order level), '-' if all taxid related steps were skipped
# Column  7: 'ctaxid':  taxid of sequence (class level), '-' if all taxid related steps were skipped
# Column  8: 'ptaxid':  taxid of sequence (phylum level), '-' if all taxid related steps were skipped
# Column  9: 'p/f':     PASS if sequence passed all filters and ingroup analysis else FAIL
# Column 10: 'clust':   'C' if sequence selected as centroid of a cluster, 'NC' if not
# Column 11: 'special': '-' for all sequences because --special not used
# Column 12: 'failstr': '-' for PASSing sequences, else list of reasons for FAILure, see below
#
# Possible substrings in 'failstr' column 9, each substring separated by ';;':
# 'ambig[<d>]':            contains <d> ambiguous nucleotides, which exceeds maximum allowed
# 'not-in-tax-tree':       sequence taxid is not present in the input NCBI taxonomy tree
# 'not-specified-species': sequence does not belong to a specified sequence according to NCBI taxonomy
# 'vecscreen-match[<s>]':  vecscreen reported match to vector of strength <s>
# 'blastrepeat[<s>]':      repetitive sequence identified by blastn
#                          <s> = <s1>,<s2>,...<sI>...<sN> for N >= 1, where
#                          <sI> = <c1>|e=<g1>|len=<d1>|<d2>..<d3>/<d4>..<d5>|pid=<f1>|ngap=<d6>
#                          <c1> = + for positive strand, - for negative strand
#                          <g1> = E-value of hit
#                          <d1> = maximum of query length and subject length in hit alignment
#                          <d2>..<d3> = query coordinates of hit
#                          <d4>..<d5> = subject coordinates of hit
#                          <f1> = fractional identity of hit alignment
#                          <d6> = number of gaps in hit alignment
# 'ribotyper2[<s>]:        ribotyper (riboaligner) failure with unexpected features listed in <s>
#                          see db100/db100.ribodbmaker-ra/db100-ra.ribotyper.long.out
#                          for explanation of unexpected features
# 'mdlspan[<d1>-<d2>]:     alignment of sequence does not span required model positions, model span is <d1> to <d2>
# 'ingroup-analysis[<s>]:  sequence failed ingroup analysis
#                          if <s> includes 'type=<s1>', sequence was classified as type <s1>
#                          see db100/db100.ribodbmaker.ingrup.order.alipid_analyze.out for explanation of types
#idx  seqname     seqlen   staxid   otaxid   ctaxid   ptaxid   p/f  clust  special  failstr
1     KC674542.1  1809     175245        1        1        1  FAIL      -        -  not-specified-species;;vecscreen-match[None];;ribotyper2[*LowCoverage:(0.972<0.990);];;
2     EU278606.1  1737     209559     5042   147545     4890  FAIL      -        -  ribotyper2[*LowCoverage:(0.990<0.990);];;
3     AB034910.1  1763      36909     4892     4891     4890  FAIL      -        -  ambig[1];;
4     KC670242.1  1741     175245        1        1        1  FAIL      -        -  ambig[2];;not-specified-species;;
5     MG520986.1  1063    1821266    92860   147541     4890  FAIL      -        -  ribotyper2[*LowCoverage:(0.678<0.990);*MultipleHits:(2:SI[M:-1(568..568),S:338(510..847)]);];;
6     DQ677995.1  1644      45130    92860   147541     4890  FAIL      -        -  mdlspan[86-1781];;
7     KX352732.1  1280     586133        1        1     6029  FAIL      -        -  ribotyper2[*UnacceptableModel:(SSU_rRNA_microsporidia);*LowCoverage:(0.981<0.990);];;
8     AB220232.1  1723     112178    37989   147550     4890  PASS     NC        -  -
9     KC674843.1  1736     175245        1        1        1  FAIL      -        -  ambig[3];;not-specified-species;;
10    JX644478.1  1042     443158     4827  2212703  1913637  FAIL      -        -  mdlspan[68-1117];;
11    KC671420.1  1741     175245        1        1        1  FAIL      -        -  ambig[1];;not-specified-species;;
12    HF968783.1  1712       4874   214509   214506  1913637  PASS      C        -  -
13    EF638685.1  1330     175247        1        1     4761  FAIL      -        -  not-specified-species;;mdlspan[353-1729];;
14    KC672143.1  1741     175245        1        1        1  FAIL      -        -  not-specified-species;;
15    KX092113.1  1442    1928840     5338   155619     5204  FAIL      -        -  mdlspan[347-1821];;
16    EF638553.1  1361     175244        1        1     5204  FAIL      -        -  not-specified-species;;mdlspan[322-1729];;
17    HM799815.1  1754     175244        1        1     5204  FAIL      -        -  ambig[100];;not-specified-species;;ribotyper2[*LowCoverage:(0.944<0.990);*MultipleHits:(2:NH[M:86(883..968),S:99(824..922)]);];;
18    KC672092.1  1780     175245        1        1        1  FAIL      -        -  ambig[1];;not-specified-species;;ribotyper2[*LowCoverage:(0.976<0.990);];;
19    DQ646548.1  1774     353017     5185   147549     4890  FAIL      -        -  ambig[1];;
20    AY640212.1  1736      45567     4892     4891     4890  PASS     NC        -  -
