#                                                                                                                         best-scoring model                                                       second-best-scoring model              
#                                                                                           --------------------------------------------------------------------------------              ----------------------------------------------  
#target                                         p/f   targetlen  #ht  fam  domain           model                       evalue       score  s    cov       start        stop      scdiff  model                       evalue       score  extra
#-----------------------------                 ----  ----------  ---  ---  ---------------  ----------------------  ----------  ----------  -  -----  ----------  ----------  ----------  ----------------------  ----------  ----------  -----
00004::Nanoarchaeum_equitans::AJ318041         PASS         867    1  SSU  Archaea          SSU_rRNA_archaea          6.3e-197       647.2  +  0.995           3         865       197.3  SSU_rRNA_bacteria         3.8e-137       449.9  -
00013::Methanobacterium_formicicum::M36508     PASS        1476    1  SSU  Archaea          SSU_rRNA_archaea                 0      1230.7  +  0.998           3        1475       439.7  SSU_rRNA_bacteria         3.4e-240       791.0  -
00035::Bacteroides_fragilis::M61006|g143965    PASS        1537    1  SSU  Bacteria         SSU_rRNA_bacteria                0      1120.0  +  0.992          10        1534       179.2  SSU_rRNA_chloroplast      1.7e-285       940.8  -
00052::Halobacterium_sp.::AE005128             PASS        1473    1  SSU  Archaea          SSU_rRNA_archaea                 0      1207.3  +  0.999           1        1472       484.2  SSU_rRNA_bacteria         1.2e-219       723.1  -
00072::Chlamydia_trachomatis.::AE001345        PASS         887    1  SSU  Bacteria         SSU_rRNA_bacteria         1.1e-192       633.8  +  0.986           6         880        67.0  SSU_rRNA_chloroplast      1.7e-172       566.8  -
00115::Pyrococcus_furiosus::U20163|g643670     PASS         922    1  SSU  Archaea          SSU_rRNA_archaea          8.2e-235       772.6  -  1.000         922           1       265.8  SSU_rRNA_bacteria         2.6e-154       506.8  -
00121::Thermococcus_celer::M21529              PASS        1780    1  SSU  Archaea          SSU_rRNA_archaea                 0      1239.2  +  0.834         202        1686       438.8  SSU_rRNA_bacteria         4.9e-243       800.4  -
00220::Euplotes_aediculatus.::M14590           PASS        1082    1  SSU  Eukarya          SSU_rRNA_eukarya          3.4e-189       621.7  +  0.999           1        1081       289.6  SSU_rRNA_microsporidia    1.7e-101       332.1  -
00224::Rickettsia_prowazekii.::AJ235272        PASS        1620    1  SSU  Bacteria         SSU_rRNA_bacteria                0      1192.9  +  0.922          99        1591       125.1  SSU_rRNA_chloroplast             0      1067.8  -
00229::Oxytricha_granulifera.::AF164122        PASS         600    1  SSU  Eukarya          SSU_rRNA_eukarya          8.9e-124       405.0  -  0.867         521           2       199.6  SSU_rRNA_microsporidia     3.3e-63       205.4  -
01106::Bacillus_subtilis::K00637               PASS        1552    1  SSU  Bacteria         SSU_rRNA_bacteria                0      1260.4  +  0.995           5        1549       117.9  SSU_rRNA_cyanobacteria           0      1142.5  -
01223::Audouinella_hermannii.::AF026040        PASS        1771    1  SSU  Eukarya          SSU_rRNA_eukarya                 0      1255.0  +  0.998           2        1768       598.7  SSU_rRNA_microsporidia    1.6e-199       656.3  -
01240::Batrachospermum_gelatinosum.::AF026045  PASS        1765    1  SSU  Eukarya          SSU_rRNA_eukarya                 0      1250.7  +  0.998           2        1762       594.5  SSU_rRNA_microsporidia    1.8e-199       656.2  -
01351::Mycoplasma_gallisepticum::M22441        PASS         881    1  SSU  Bacteria         SSU_rRNA_bacteria         1.3e-176       580.6  -  0.991         881           9        69.5  SSU_rRNA_chloroplast      1.1e-155       511.1  -
01710::Oryza_sativa.::X00755                   PASS        2046    1  SSU  Eukarya          SSU_rRNA_eukarya                 0      1320.4  +  0.885          76        1885       649.5  SSU_rRNA_microsporidia    6.5e-204       670.9  -
