#target                                        classification        pass/fail
#-----------------------------                 --------------------  ---------
00004::Nanoarchaeum_equitans::AJ318041         SSU.Archaea           PASS
00013::Methanobacterium_formicicum::M36508     SSU.Archaea           PASS
00035::Bacteroides_fragilis::M61006|g143965    SSU.Bacteria          PASS
00052::Halobacterium_sp.::AE005128             SSU.Archaea           PASS
00072::Chlamydia_trachomatis.::AE001345        SSU.Bacteria          PASS
00115::Pyrococcus_furiosus::U20163|g643670     SSU.Archaea           PASS
00121::Thermococcus_celer::M21529              SSU.Archaea           PASS
00220::Euplotes_aediculatus.::M14590           SSU.Eukarya           PASS
00224::Rickettsia_prowazekii.::AJ235272        SSU.Bacteria          PASS
00229::Oxytricha_granulifera.::AF164122        SSU.Eukarya           PASS
01106::Bacillus_subtilis::K00637               SSU.Bacteria          PASS
01223::Audouinella_hermannii.::AF026040        SSU.Eukarya           PASS
01240::Batrachospermum_gelatinosum.::AF026045  SSU.Eukarya           PASS
01351::Mycoplasma_gallisepticum::M22441        SSU.Bacteria          PASS
01710::Oryza_sativa.::X00755                   SSU.Eukarya           PASS
